"SID","artistic","assertive","calm","careless","cold","considerate","cooperate","curious","depressed","disorganized","distracted","efficient","emotionallystable","energy","enthusiasm","findfault","forgiving","helpful","imagination","ingenious","inventive","lazy","moody","nervous","original","outgoing","perseveres","plans","quarrels","quiet","reflect","relaxed","reliable","reserved","routine","rude","shy","sophisticated","talkative","tense","thorough","trusting","unartistic","worries"
1,15,10,10,12,6,13,9,12,8,12,13,13,7,9,10,12,13,14,14,10,11,11,11,11,13,10,6,7,2,8,12,7,10,4,2,3,4,13,8,6,10,14,1,10
6,15,2,6,5,2,15,13,15,9,4,7,13,9,2,9,2,8,14,13,11,10,14,13,10,8,8,12,6,1,12,12,4,13,10,14,1,14,10,11,9,13,14,3,13
8,15,12,8,4,4,9,8,13,12,8,11,10,8,8,12,11,8,12,15,11,12,1,13,15,13,10,9,11,8,1,13,6,13,11,8,9,11,15,15,11,13,8,1,15
12,10,11,10,4,10,13,11,15,13,3,8,13,1,3,13,9,11,9,9,15,11,12,15,9,14,6,8,7,5,8,10,10,9,6,4,12,10,8,11,5,10,9,8,13
17,14,11,14,10,4,8,13,15,6,10,10,12,12,13,12,11,15,12,13,15,11,5,13,6,15,11,14,15,6,6,12,15,14,11,3,9,14,14,8,8,13,11,6,5
19,12,5,13,10,9,10,8,13,11,5,8,13,14,6,9,10,10,9,10,14,13,10,6,5,13,11,9,11,4,9,13,12,12,10,9,9,10,12,9,9,10,8,2,9
23,13,9,13,3,2,12,12,11,2,2,3,11,14,13,14,5,13,13,12,9,10,3,4,7,10,12,12,11,3,12,10,11,13,9,3,3,11,13,12,8,13,12,3,7
27,15,11,13,12,6,12,15,14,1,5,11,12,14,13,11,9,12,12,15,14,15,10,5,4,15,11,11,10,8,11,15,14,11,11,6,8,11,14,11,3,11,11,3,2
36,10,2,4,12,4,1,2,11,15,12,13,1,1,1,3,1,12,1,13,15,11,11,15,15,15,9,5,5,4,4,15,1,6,5,8,12,5,15,10,11,4,5,1,15
40,15,3,4,12,11,8,8,9,15,7,13,4,1,4,4,12,8,9,8,6,6,11,15,12,7,4,8,7,7,11,8,4,8,8,8,9,11,8,5,12,10,5,4,13
41,13,11,14,6,6,13,13,10,3,9,6,13,11,13,14,11,13,10,12,10,11,12,10,6,9,14,10,13,4,10,10,13,10,8,8,9,11,10,13,4,13,12,6,9
46,13,12,13,6,2,15,11,13,3,7,9,13,14,11,11,2,15,15,12,13,12,3,7,5,13,12,14,12,1,9,11,12,13,7,13,1,9,13,12,10,13,12,3,9
51,15,9,5,10,3,14,15,14,9,4,15,9,6,9,9,4,13,13,14,9,11,12,3,12,11,10,5,8,2,10,5,5,9,9,5,4,12,13,10,10,9,14,3,12
52,13,7,11,9,7,12,7,11,4,4,12,12,10,11,11,10,8,9,12,10,10,10,11,13,9,11,8,13,2,9,13,10,12,8,11,4,10,11,12,10,10,11,4,13
53,14,3,9,4,2,14,11,13,6,2,5,12,11,13,12,2,15,15,9,10,9,9,6,9,9,14,13,14,2,3,9,10,13,5,13,3,4,9,12,5,14,14,4,6
54,15,8,15,2,7,14,13,15,3,1,13,11,14,10,9,7,10,14,14,15,11,3,5,12,13,11,14,13,8,12,15,15,15,13,5,4,13,15,8,6,15,11,1,11
60,15,10,12,2,15,10,13,15,9,1,10,13,6,10,10,12,10,12,13,13,4,1,7,5,10,7,15,11,1,9,13,13,13,10,4,1,6,15,10,1,14,5,1,6
61,15,13,11,5,4,13,12,11,9,5,10,13,11,5,11,5,13,10,14,9,5,10,7,10,7,14,13,9,2,3,9,10,12,4,12,3,4,15,13,7,13,13,1,6
62,8,9,10,11,10,12,14,9,14,11,11,9,12,11,10,12,9,11,10,10,8,11,9,11,13,8,11,10,10,10,12,8,10,12,9,9,9,10,11,13,13,12,13,11
68,14,12,14,2,3,15,14,14,3,4,7,10,14,6,10,3,13,14,10,11,10,2,2,3,10,10,13,13,1,9,15,14,14,3,11,1,3,13,5,5,14,2,3,4
70,10,15,6,7,6,14,15,14,7,9,3,14,12,10,14,11,6,14,15,15,11,12,11,13,9,12,14,14,1,10,12,2,15,12,6,12,11,3,13,14,14,13,12,15
71,10,13,13,4,1,10,12,15,10,10,4,15,8,12,15,11,8,10,14,12,13,4,10,8,13,12,15,10,5,NA,12,12,15,8,13,3,9,10,15,10,15,10,2,12
73,12,10,11,4,9,14,13,15,3,1,10,11,12,8,11,12,12,8,14,12,13,11,3,6,13,13,12,13,2,8,15,12,14,10,8,5,8,10,10,6,14,11,3,4
74,13,3,8,1,1,13,15,13,1,1,8,11,11,13,13,2,13,6,4,10,2,3,5,8,5,13,15,15,1,5,10,6,15,3,15,1,6,11,13,12,15,10,1,6
81,13,6,12,9,4,13,13,10,11,9,11,6,4,12,NA,6,11,9,14,6,5,12,6,6,7,14,7,5,5,5,10,11,11,5,11,5,10,13,13,10,10,7,2,10
86,12,5,11,12,5,10,4,12,4,11,11,6,13,6,4,11,4,11,11,10,11,12,9,5,13,6,5,5,6,11,11,12,10,12,5,6,12,11,5,10,12,5,5,5
87,2,14,12,1,9,5,7,9,1,6,2,14,15,11,11,12,6,9,13,11,12,2,13,2,10,11,15,15,2,7,9,13,15,8,12,10,11,2,12,11,14,9,14,6
88,11,8,10,9,3,10,9,14,4,2,11,6,5,11,13,9,13,7,14,7,11,10,9,7,11,11,10,9,3,7,12,13,9,8,6,3,11,7,12,5,14,11,3,12
90,11,6,5,5,9,9,4,4,10,8,9,12,4,6,6,10,6,10,6,6,6,13,11,12,5,6,7,12,9,11,6,4,10,13,12,6,12,10,6,11,6,6,4,12
91,11,5,11,9,9,10,14,15,1,9,10,10,13,13,13,5,10,11,13,11,14,5,6,4,12,12,11,13,2,10,10,14,12,10,7,9,12,11,9,4,10,6,8,3
92,11,6,12,7,10,11,13,13,2,7,9,11,15,11,12,5,13,10,10,11,6,6,9,9,9,10,12,13,3,9,7,13,13,9,6,9,9,9,11,7,12,13,10,7
94,13,13,3,1,10,9,7,12,9,1,1,13,1,9,7,12,8,11,14,10,11,2,12,13,11,3,15,15,12,13,9,4,14,12,11,10,13,11,7,14,15,7,2,14
95,14,10,4,10,4,14,15,12,1,4,14,14,3,15,15,9,12,11,12,11,13,14,12,12,12,13,13,10,1,2,12,7,15,4,10,7,4,15,15,8,13,14,2,13
102,13,8,12,4,9,8,5,8,8,2,10,13,11,8,8,5,4,5,12,11,11,3,8,11,12,12,13,14,5,12,13,5,12,12,14,9,13,13,9,10,11,4,3,12
10105,14,10,14,11,9,NA,14,NA,5,6,10,14,7,11,13,4,11,13,NA,14,10,NA,10,4,10,NA,12,13,3,NA,12,NA,NA,5,7,NA,9,15,11,13,12,10,2,NA
